WELL_ID,DEPTH,GR,SP,RT,AC,POR,PERM,SW,SSB,CJWX,CJWX1,CJWX2,CJWX3,CJWX4,std_GR,std_SP,std_RT,std_AC,std_POR,std_PERM,std_SW,std_DEPTH,mm_GR,mm_SP,mm_RT,mm_AC,mm_POR,mm_PERM,mm_SW,mm_DEPTH,GR_rate,SP_rate,RT_rate,AC_rate,POR_rate,PERM_rate,SW_rate,DEPTH_rate,GR_sign,SP_sign,RT_sign,AC_sign,POR_sign,PERM_sign,SW_sign,DEPTH_sign,ACTUAL,CNN_1D,LSTM,Bi-GRU,ABi-GRU,MC-ABiLSTM
罗检38-365,1695.625,111.441,88.51,10.842,250.552,14.691,0.605,61.75100000000001,2.0,3.0,0.0,0.0,1.0,0.0,0.6709119779975188,-1.2096237240928136,-1.4325004691033671,0.4459631582525093,0.6672404069802976,-0.2504451897827582,-0.3436170253924545,-0.4780498473030863,0.43198820217187295,0.15198210513234844,0.2106379218943276,0.6792462880351553,0.9025733019918348,0.20013454423141605,0.3482034546976713,0.3614457831325311,-0.005204241948153953,-0.0037481850005063344,-0.03377595579716584,-0.012894710922879813,-0.029848775011556493,-0.13199426111908188,0.043637715695719184,7.372456502506634e-05,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,2.0,5,3,3,3,2
罗检38-365,1695.75,109.136,88.205,10.38,245.225,13.956,0.479,65.904,2.0,3.0,0.0,0.0,1.0,0.0,0.5558570006770878,-1.2704596736412817,-1.5543909728995586,-0.0006593278074678129,0.5559094665364195,-0.42780632912981065,-0.16218303080571006,-0.4641933299899533,0.4113866916923629,0.1330309432086496,0.18342463332744294,0.6083094746654236,0.8571075095880244,0.15775311133535147,0.4191597327820396,0.3654618473895539,-0.020683590420042825,-0.003445938312055212,-0.04261206419479798,-0.021261055589259018,-0.05003063099857052,-0.20826446280991734,0.06725397159560155,7.371913011426465e-05,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,2.0,5,3,3,3,2
罗检38-365,1695.875,104.66,87.95299999999997,10.155,237.955,12.953,0.359,70.96300000000002,2.0,3.0,0.0,0.0,1.0,0.0,0.3324357084921627,-1.3207241303173938,-1.61375323124186,-0.6101854163481116,0.4039843872640252,-0.5967216999365272,0.0588317966959379,-0.4503368126768204,0.371381329043214,0.11737293401267568,0.17017140837603806,0.5114987682269123,0.7950637139675863,0.11738984191052805,0.5055955167523791,0.36947791164658383,-0.04101304794018485,-0.0028569808967746674,-0.021676300578034817,-0.0296462432459985,-0.07186873029521354,-0.25052192066805845,0.07676317067249351,7.371369600471768e-05,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,2.0,4,3,3,3,2
罗检38-365,1696.0,98.593,87.76899999999998,10.505999999999998,229.579,11.797,0.274,75.494,2.0,3.0,0.0,0.0,1.0,0.0,0.029599028490836087,-1.3574251621761404,-1.5211481082278706,-1.312439957973483,0.2288842958992319,-0.7163700875912847,0.2567796487239993,-0.4364802953636875,0.3171560084014836,0.1059401019013304,0.1908464393002296,0.3999600506025698,0.723555610540641,0.08879919273461148,0.58301013172957,0.3734939759036138,-0.05796866042423091,-0.0020920264232032735,0.03456425406203832,-0.03519993276039589,-0.08924573457886195,-0.2367688022284123,0.06385017544354088,7.370826269624825e-05,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,2.0,4,3,7,3,2
罗检38-365,1696.125,95.141,87.685,11.719,220.921,10.602,0.224,78.22,7.0,1.0,1.0,0.0,0.0,0.0,-0.1427089028367679,-1.3741799810681747,-1.2011195776980426,-2.0383377398971296,0.04787684851088566,-0.7867514920940833,0.3758716470970949,-0.42262377805055457,0.28630290029941463,0.10072076550267273,0.2622960475938034,0.2846660896198143,0.6496350364963505,0.07198116380760174,0.629585333766167,0.3775100401606437,-0.03501262767133553,-0.0009570577310894393,0.11545783361888473,-0.03771250854825579,-0.10129693989997457,-0.1824817518248175,0.036108829840782036,7.370283018867924e-05,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,7.0,7,7,7,7,7
罗检38-365,1696.25,96.163,87.71600000000002,14.022,212.778,0.1,0.01,99.9,7.0,1.0,1.0,0.0,0.0,0.0,-0.09169537276237318,-1.3679966550484934,-0.5935138845321793,-2.7210572638292447,-1.5428680991647727,-1.0879839033660612,1.3230156400276578,-0.4087672607374216,0.29543727934933184,0.1026469491736064,0.3979501678741826,0.17623010852919574,0.0,0.0,1.0,0.38152610441766655,0.010741951419472059,0.00035353823344934615,0.1965184742725488,-0.036859329805677146,-0.9905678173929447,-0.9553571428571428,0.27716696497059584,7.36973984818336e-05,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,7.0,7,7,7,7,7
罗检38-365,1696.375,106.998,87.855,17.242,205.748,0.1,0.01,99.9,7.0,1.0,1.0,0.0,0.0,0.0,0.4491378937308472,-1.3402714190247669,0.2560259904109733,-3.3104614457330603,-1.5428680991647727,-1.0879839033660612,1.3230156400276578,-0.3949107434242887,0.3922777852259015,0.11128370821424216,0.5876185427342875,0.08261535388507824,0.0,0.0,1.0,0.3855421686746965,0.11267327350436232,0.0015846595832002804,0.22963913849664816,-0.03303912998524284,0.0,0.0,0.0,7.369196757553427e-05,1.0,1.0,1.0,-1.0,0.0,0.0,0.0,1.0,7.0,7,7,7,7,7
罗检38-365,1696.5,131.613,88.086,20.556,201.023,0.1,0.01,99.9,7.0,1.0,1.0,0.0,0.0,0.0,1.6778052545735451,-1.294195667071667,1.130366097728242,-3.706611482645653,-1.5428680991647727,-1.0879839033660612,1.3230156400276578,-0.38105422611115575,0.6122804665504761,0.12563688331055098,0.7828238204629789,0.019695052932951373,0.0,0.0,1.0,0.3895582329317264,0.2300510289911962,0.002629332422741956,0.1922050806170976,-0.022964986293912915,0.0,0.0,0.0,7.36865374696043e-05,1.0,1.0,1.0,-1.0,0.0,0.0,0.0,1.0,7.0,7,7,7,7,7
罗检38-365,1696.625,145.722,88.367,22.771,199.544,0.1,0.01,99.9,7.0,1.0,1.0,0.0,0.0,0.0,2.382061512714095,-1.2381468086352097,1.7147545520757843,-3.830612732295117,-1.5428680991647727,-1.0879839033660612,1.3230156400276578,-0.3671977087980228,0.7383831612816733,0.14309680626320453,0.9132944572068088,0.0,0.0,0.0,1.0,0.3935742971887564,0.1072006564701056,0.0031900642553868482,0.10775442693130978,-0.007357367067449919,0.0,0.0,0.0,7.368110816386678e-05,1.0,1.0,1.0,-1.0,0.0,0.0,0.0,1.0,7.0,7,7,7,7,7
罗检38-365,1696.75,129.043,88.67299999999999,24.243,202.9,0.1,0.01,99.9,7.0,1.0,1.0,0.0,0.0,0.0,1.5495226985156243,-1.1771113969570792,2.1031156377640827,-3.5492414044901097,-1.5428680991647727,-1.0879839033660612,1.3230156400276578,-0.35334119148488985,0.5893104526969658,0.16211010314402866,0.9999999999999998,0.04469005925827263,0.0,0.0,1.0,0.3975903614457792,-0.11445766596670373,0.003462831147373829,0.06464362566422209,0.016818345828488925,0.0,0.0,0.0,7.367567965814484e-05,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,7.0,7,7,7,7,7
