GR,SP,RT,AC,SH,POR,PERM,SW,DEPTH,AC_line_3,AC_line_4,AC_line_5,AC_point_3,AC_point_4,AC_point_5,C_3_MASK,C_4_MASK,C_5_MASK,R_3_MASK,R_4_MASK,R_5_MASK
0.283530514,0.118112659,0.123405653,0.357220106,0.167970513,0.491795655,0,0.919440178,0.101836394,0.357220106,0.357220106,0.357220106,0.357220106,0.357220106,0.357220106,0,0,0,0,0,0
0.282548401,0.100716004,0.130326068,0.334816271,0.166777709,0.455523816,0,1,0.103505843,0.334816271,0.334816271,0.334816271,0.334816271,0.334816271,0.334816271,0,0,0,0,0,0
0.287031564,0.084186385,0.138155735,0.288349515,0.15764362,0.429416063,0,1,0.105175292,0.288349515,0.288349515,0.288349515,0.288349515,0.288349515,0.288349515,0,0,0,0,0,0
0.276419289,0.075711808,0.151819766,0.262271107,0.143136539,0.423636484,0,1,0.106844741,0.262271107,0.262271107,0.262271107,0.262271107,0.262271107,0.262271107,0,0,0,0,0,0
0.256185947,0.075627902,0.164170434,0.246761706,0.123460637,0.434531323,0,1,0.10851419,0.246761706,0.246761706,0.246761706,0.246761706,0.246761706,0.246761706,0,0,0,0,0,0
0.226095101,0.079068076,0.172202157,0.238675187,0.116389778,0.444429682,0,0.967514365,0.110183639,0.238675187,0.238675187,0.238675187,0.238675187,,0.238675187,0,0,0,0,1,0
0.212481926,0.092017676,0.179021544,0.251308836,0.128403791,0.447419119,0,0.946833931,0.111853088,0.251308836,0.251308836,0.251308836,0.251308836,,0.251308836,0,0,0,0,1,0
0.229114189,0.107792135,0.184502311,0.272237926,0.142599239,0.442503156,0,0.952636969,0.113522538,0.272237926,0.272237926,0.272237926,0.272237926,,0.272237926,0,0,0,0,1,0
0.247065029,0.122923309,0.185260021,0.29972963,0.167250532,0.434531323,0,0.976105137,0.115191987,0.29972963,0.29972963,0.29972963,0.29972963,0.29972963,0.29972963,0,0,0,0,0,0
0.278556294,0.140208089,0.181345187,0.33512351,0.198575082,0.429947519,0,0.997468282,0.116861436,0.33512351,0.33512351,0.33512351,0.33512351,0.33512351,0.33512351,0,0,0,0,0,0
0.310729583,0.170106841,0.175005683,0.409192577,0.253583786,0.443233907,0,0.966333845,0.118530885,0.409192577,0.409192577,0.409192577,0.409192577,0.409192577,0.409192577,0,0,0,0,0,0
0.375821837,0.196873077,0.160912282,0.455388964,0.287089772,0.472995416,0,0.903496046,0.120200334,0.455388964,0.455388964,0.455388964,0.455388964,0.455388964,0.455388964,0,0,0,0,0,0
0.412323697,0.21432567,0.146288485,0.486481504,0.317318232,0.49983392,0,0.85742732,0.121869783,0.486481504,0.486481504,0.486481504,0.486481504,0.486481504,0.486481504,0,0,0,0,0,0
0.444615203,0.229848409,0.134821812,0.50615706,0.333953019,0.524280874,0,0.81751721,0.123539232,0.50615706,0.50615706,0.50615706,0.50615706,0.50615706,0.50615706,0,0,0,0,0,0
0.463066193,0.247468815,0.123153083,0.5115153,0.31986503,0.544077593,0,0.792612505,0.125208681,0.5115153,0.5115153,0.5115153,,0.5115153,0.5115153,0,0,0,1,0,0
0.450353288,0.258096996,0.106104614,0.502064643,0.322916891,0.554773135,0,0.799212038,0.12687813,0.502064643,0.502064643,0.502064643,,0.502064643,0.502064643,0,0,0,1,0,0
0.456991643,0.259579348,0.092289041,0.486211134,0.320574266,0.554773135,0,0.825183478,0.128547579,0.486211134,0.486211134,0.486211134,,0.486211134,0.486211134,0,0,0,1,0,0
0.457746415,0.257369805,0.085217084,0.467076318,0.31207419,0.554374543,0,0.83994709,0.130217028,0.467076318,0.467076318,0.467076318,0.467076318,0.467076318,0.467076318,0,0,0,0,0,0
0.454245365,0.249482575,0.080342485,0.432935971,0.300618969,0.557496844,0,0.842777493,0.131886477,0.432935971,0.432935971,0.432935971,0.432935971,0.432935971,0.432935971,0,0,0,0,0,0
0.444124146,0.241623315,0.078422954,0.417623203,0.282372284,0.564140039,0,0.831882574,0.133555927,0.417623203,0.417623203,0.417623203,0.417623203,0.417623203,,0,0,0,0,0,1
0.42428183,0.236840633,0.080342485,0.411933145,0.259139461,0.568856706,0,0.817844342,0.135225376,0.411933145,0.411933145,0.411933145,0.411933145,0.411933145,,0,0,0,0,0,1
0.39695545,0.233652179,0.085570682,0.409475237,0.235412323,0.567195908,0,0.811102577,0.136894825,0.409475237,0.409475237,0.409475237,0.409475237,0.409475237,,0,0,0,0,0,1
0.371038584,0.234770935,0.093627661,0.385977633,0.205420276,0.537434398,0,0.862177846,0.138564274,0.385977633,0.385977633,0.385977633,0.385977633,0.385977633,,0,0,0,0,0,1
0.335346058,0.24072831,0.113530169,0.352980214,0.169539427,0.479107155,0,0.973971668,0.140233723,0.352980214,0.352980214,0.352980214,0.352980214,0.352980214,,0,0,0,0,0,1
0.289059445,0.250825083,0.136438259,0.307177092,0.137118786,0.421909254,0,1,0.141903172,0.307177092,0.307177092,0.307177092,0.307177092,0.307177092,0.307177092,0,0,0,0,0,0
0.245746451,0.265005314,0.156593337,0.251038466,0.111683036,0.360459709,0,1,0.143572621,0.251038466,0.251038466,0.251038466,0.251038466,0.251038466,0.251038466,0,0,0,0,0,0
0.218720162,0.295910947,0.178516404,0.14502888,0.083528552,0.288580349,0,1,0.14524207,0.14502888,0.14502888,0.14502888,,0.14502888,0.14502888,0,0,0,1,0,0
0.174443242,0.329417688,0.212108201,0.088914833,0.079842679,0.228791603,0,1,0.146911519,0.088914833,0.088914833,0.088914833,,0.088914833,0.088914833,0,0,0,1,0,0
0.169569053,0.3575544,0.239739348,0.060034411,0.092157579,0.218096061,0,1,0.148580968,0.060034411,0.060034411,0.060034411,,0.060034411,0.060034411,0,0,0,1,0,0
0.192157647,0.387956592,0.252367843,0.058117242,0.117518107,0.228260147,0,1,0.150250417,0.058117242,0.058117242,0.058117242,0.058117242,0.058117242,0.058117242,0,0,0,0,0,0
0.22206662,0.438496392,0.258656833,0.145237803,0.175868813,0.291702651,0,1,0.151919866,0.145237803,0.145237803,0.145237803,0.145237803,,0.145237803,0,0,0,0,1,0
0.300026372,0.485707893,0.252595156,0.244180902,0.49220916,0,0,1,0.153589316,0.244180902,0.244180902,0.244180902,0.244180902,,0.244180902,0,0,0,0,1,0
0.363154401,0.517872126,0.238804839,0.348826349,0.60921146,0,0,1,0.155258765,0.348826349,0.348826349,0.348826349,0.348826349,0.348826349,0.348826349,0,0,0,0,0,0
0.429637982,0.54874979,0.223726416,0.448273319,0.726675837,0,0,1,0.156928214,0.448273319,0.448273319,0.448273319,0.448273319,0.448273319,0.448273319,0,0,0,0,0,0
0.489255868,0.591570174,0.207763999,0.570910655,0.872746029,0,0,1,0.158597663,0.570910655,0.570910655,0.570910655,0.570910655,0.570910655,0.570910655,0,0,0,0,0,0
0.555475734,0.626866924,0.186497613,0.616996436,0.959390917,0,0,1,0.160267112,0.616996436,0.616996436,0.616996436,0.616996436,0.616996436,0.616996436,0,0,0,0,0,0
0.591331945,0.646193433,0.170358397,0.627958707,1,0,0,1,0.161936561,0.627958707,0.627958707,0.627958707,0.627958707,0.627958707,0.627958707,0,0,0,0,0,0
0.611692599,0.661856016,0.164018892,0.621752489,1,0,0,1,0.16360601,0.621752489,0.621752489,0.621752489,0.621752489,0.621752489,0.621752489,0,0,0,0,0,0
0.619558595,0.676791408,0.161164852,0.56649871,0.949461626,0,0,1,0.165275459,0.56649871,0.56649871,0.56649871,0.56649871,0.56649871,0.56649871,0,0,0,0,0,0
0.587339838,0.684734575,0.164599803,0.517401991,0.868211223,0,0,1,0.166944908,0.517401991,0.517401991,0.517401991,0.517401991,0.517401991,0.517401991,0,0,0,0,0,0
0.553529695,0.684203166,0.17268204,0.472704928,0.787519611,0,0,1,0.168614357,0.472704928,0.472704928,0.472704928,0.472704928,,,0,0,0,0,1,1
0.517800795,0.679448453,0.182885864,0.432813076,0.7147263,0,0,1,0.170283806,0.432813076,0.432813076,0.432813076,0.432813076,,,0,0,0,0,1,1
0.483481408,0.66277899,0.19559013,0.362135922,0.614584453,0,0,1,0.171953255,0.362135922,0.362135922,0.362135922,0.362135922,0.362135922,0.362135922,0,0,0,0,0,0
0.432511572,0.642361694,0.219306443,0.31313752,0.529777128,0,0,1,0.173622705,0.31313752,0.31313752,0.31313752,0.31313752,0.31313752,0.31313752,0,0,0,0,0,0
0.38537925,0.624629412,0.243755209,0.272213346,0.472049689,0,0,1,0.175292154,0.272213346,0.272213346,0.272213346,0.272213346,0.272213346,,0,0,0,0,0,1
0.350859803,0.605302903,0.261712929,0.234902298,0.440628425,0,0,1,0.176961603,0.234902298,0.234902298,0.234902298,0.234902298,0.234902298,,0,0,0,0,0,1
0.331126611,0.57389383,0.279620135,0.203613125,0.404242515,0,0,1,0.178631052,0.203613125,0.203613125,0.203613125,,,,0,0,0,1,1,1
0.30737403,0.544218829,0.305609577,0.200294949,0.399804423,0,0,1,0.180300501,0.200294949,0.200294949,0.200294949,,,,0,0,0,1,1,1
0.304400411,0.524472786,0.3279115,0.21020032,0.385415547,0,0,1,0.18196995,0.21020032,0.21020032,0.21020032,0.21020032,,,0,0,0,0,1,1
0.294670219,0.506209095,0.33889829,0.22172791,0.379956586,0,0,1,0.183639399,0.22172791,0.22172791,0.22172791,0.22172791,0.22172791,,0,0,0,0,0,1
0.290932734,0.483358505,0.346248074,0.237077547,0.382653829,0,0,1,0.185308848,0.237077547,0.237077547,0.237077547,0.237077547,0.237077547,,0,0,0,0,0,1
0.292778743,0.465318566,0.351577299,0.257158658,0.410410712,0,0,1,0.186978297,0.257158658,0.257158658,0.257158658,0.257158658,,,0,0,0,0,1,1
0.311475261,0.456536332,0.353875685,0.291323584,0.447645554,0,0,1,0.188647746,0.291323584,0.291323584,0.291323584,0.291323584,,0.291323584,0,0,0,0,1,0
0.33560068,0.450159423,0.353067461,0.343394371,0.462614713,0,0,1,0.190317195,0.343394371,0.343394371,0.343394371,0.343394371,0.343394371,,0,0,0,0,0,1
0.345012595,0.445516586,0.351122673,0.450067592,0.453437641,0,0,1,0.191986644,0.450067592,0.450067592,0.450067592,,,,0,0,0,1,1,1
0.339256322,0.444062203,0.34645013,0.510237188,0.435846461,0,0,1,0.193656093,0.510237188,0.510237188,0.510237188,,,0.510237188,0,0,0,1,1,0
0.328062055,0.44565643,0.340767307,0.540924174,0.423778719,0,0,1,0.195325543,0.540924174,0.540924174,0.540924174,,,,0,0,0,1,1,1
0.320250621,0.448425351,0.335463339,0.555991152,0.414719852,0,0,1,0.196994992,0.555991152,0.555991152,0.555991152,,,,0,0,0,1,1,1
0.314321569,0.45429882,0.329452176,0.540592356,0.450858604,0,0,1,0.198664441,0.540592356,0.540592356,0.540592356,0.540592356,,,0,0,0,0,1,1
0.337628561,0.460479946,0.318894754,0.504928106,0.446861097,0,0,1,0.20033389,0.504928106,0.504928106,0.504928106,,0.504928106,0.504928106,0,0,0,1,0,0
0.33510053,0.464927001,0.307756422,0.455892835,0.405908143,0,0,1,0.202003339,0.455892835,0.455892835,0.455892835,,0.455892835,,0,0,0,1,0,1
0.308483454,0.46926218,0.299699442,0.40482979,0.391852393,0,0,1,0.203672788,0.40482979,0.40482979,0.40482979,,0.40482979,,0,0,0,1,0,1
0.299053352,0.474072831,0.291920289,0.366732211,0.410496679,0,0,1,0.205342237,0.366732211,0.366732211,0.366732211,,,0.366732211,0,0,0,1,1,0
0.311529823,0.476729876,0.282044806,0.39491213,0.464774657,0,0,1,0.207011686,0.39491213,0.39491213,0.39491213,,,0.39491213,0,0,0,1,1,0
0.346349359,0.476450187,0.274164625,0.468575642,0.54417675,0,0,1,0.208681135,0.468575642,0.468575642,0.468575642,,,,0,0,0,1,1,1
0.393672647,0.474883929,0.270426591,0.566400393,0.59962604,0,0,1,0.210350584,0.566400393,0.566400393,0.566400393,,,,0,0,0,1,1,1
0.424490984,0.469429994,0.267345238,0.738122158,0.618023168,0,0,1,0.212020033,0.738122158,0.738122158,0.738122158,0.738122158,0.738122158,0.738122158,0,0,0,0,0,0
0.434339393,0.461990267,0.264996338,0.832272336,0.620817125,0,0,1,0.213689482,0.832272336,0.832272336,0.832272336,,,0.832272336,0,0,0,1,1,0
0.435821656,0.454075069,0.264364913,0.877092294,0.610565454,0,0,1,0.215358932,0.877092294,0.877092294,0.877092294,,,,0,0,0,1,1,1
0.430365473,0.4436147,0.265880332,0.892245299,0.312117174,0.971500698,0.880933439,0.155743301,0.217028381,0.892245299,0.892245299,0.892245299,,,,0,0,0,1,1,1
0.406858421,0.422330369,0.268784886,0.825267298,0.27269015,0.977080981,0.903208698,0.150822097,0.21869783,0.825267298,0.825267298,0.825267298,,,,0,0,0,1,1,1
0.377149508,0.398976338,0.275073877,0.735184958,0.237916138,0.863017339,0.523998939,0.221767082,0.220367279,0.735184958,0.735184958,0.735184958,,0.735184958,,0,0,0,1,0,1
0.344667036,0.381299994,0.281766979,0.640997911,0.200724279,0.820235169,0.419252188,0.250540479,0.222036728,0.640997911,0.640997911,0.640997911,0.640997911,0.640997911,0.640997911,0,0,0,0,0,0
0.307274,0.363064273,0.286616321,0.558203269,0.166552043,0.813392679,0.404136834,0.253001081,0.223706177,0.558203269,0.558203269,0.558203269,0.558203269,,,0,0,0,0,1,1
0.271463257,0.334843654,0.291920289,0.47854246,0.135807776,0.819703714,0.418191461,0.244438755,0.225375626,0.47854246,0.47854246,0.47854246,0.47854246,,,0,0,0,0,1,1
0.228759537,0.307350227,0.300457152,0.450534595,0.12332094,0.818109347,0.414478918,0.240356716,0.227045075,0.450534595,0.450534595,0.450534595,,0.450534595,,0,0,0,1,0,1
0.209953895,0.289534038,0.310105322,0.440137643,0.121236218,0.805155119,0.386369663,0.244879672,0.228714524,0.440137643,0.440137643,0.440137643,,0.440137643,,0,0,0,1,0,1
0.207607737,0.272780668,0.318667441,0.429875876,0.122525737,0.783896898,0.343675418,0.257381806,0.230383973,0.429875876,0.429875876,0.429875876,,0.429875876,,0,0,0,1,0,1
0.211799904,0.250265705,0.328315611,0.412105198,0.118560468,0.739321066,0.265446831,0.291702224,0.232053422,0.412105198,0.412105198,0.412105198,,0.412105198,,0,0,0,1,0,1
0.205088799,0.229988253,0.343141464,0.399569866,0.117829741,0.676343586,0.179262795,0.347314673,0.233722871,0.399569866,0.399569866,0.399569866,,0.399569866,0.399569866,0,0,0,1,0,0
0.202533487,0.217905689,0.35736115,0.389086887,0.115444132,0.636949445,0,0.384365933,0.235392321,0.389086887,0.389086887,0.389086887,,0.389086887,,0,0,0,1,0,1
0.198304946,0.206214689,0.366226353,0.37882512,0.107545832,0.613698266,0,0.408331911,0.23706177,0.37882512,0.37882512,0.37882512,,0.37882512,,0,0,0,1,0,1
0.18566479,0.188790065,0.37481373,0.366449551,0.089094973,0.611572444,0,0.405259714,0.238731219,0.366449551,0.366449551,0.366449551,0.366449551,0.366449551,,0,0,0,0,0,1
0.153382378,0.17192482,0.387240169,0.361754947,0.075587268,0.632099914,0,0.370626387,0.240400668,0.361754947,0.361754947,0.361754947,0.361754947,0.361754947,,0,0,0,0,0,1
0.128802277,0.161464452,0.39830273,0.363610667,0.065765437,0.65867269,0.159374171,0.332295045,0.242070117,0.363610667,0.363610667,0.363610667,,0.363610667,,0,0,0,1,0,1
0.11023307,0.151982995,0.402495391,0.3686248,0.062907004,0.680993822,0.18483161,0.305427547,0.243739566,0.3686248,0.3686248,0.3686248,,0.3686248,,0,0,0,1,0,1
0.104113052,0.141131062,0.403935039,0.377657613,0.064744568,0.690427157,0.196499602,0.294774421,0.245409015,0.377657613,0.377657613,0.377657613,0.377657613,,,0,0,0,0,1,1
0.107777788,0.132992113,0.400676887,0.380213838,0.059156655,0.685909785,0.190665606,0.301288616,0.247078464,0.380213838,0.380213838,0.380213838,,,,0,0,0,1,1,1
