DEPTH AC GR PERM POR RT SH SP SPC SW
1222.125 224.155 87.716 0.010 0.100 18.066 40.660 76.165 -61.978 99.900 
1222.250 218.639 83.156 0.010 0.100 18.778 34.754 75.181 -62.963 99.900 
1222.375 217.482 79.642 0.010 0.100 19.487 30.527 74.275 -63.870 99.900 
1222.500 216.026 76.347 0.010 0.100 20.083 26.801 73.481 -64.666 99.900 
1222.625 218.141 74.285 0.010 0.100 20.439 24.582 72.866 -65.281 99.900 
1222.750 224.883 72.507 0.010 0.100 20.464 22.733 72.502 -65.647 99.900 
1222.875 231.199 71.395 0.010 0.100 20.080 21.607 72.442 -65.708 99.900 
1223.000 230.698 73.265 0.010 0.100 19.454 23.514 72.734 -65.418 99.900 
1223.125 226.443 76.828 0.010 0.100 18.803 27.331 73.311 -64.841 99.900 
1223.250 235.398 81.534 0.010 0.100 18.182 32.769 74.115 -64.038 99.900 
1223.375 265.140 87.081 0.010 0.100 17.628 39.807 75.066 -63.089 99.900 
1223.500 299.937 91.643 0.010 0.100 17.171 46.155 76.104 -62.051 99.900 
1223.625 309.509 93.954 0.010 0.100 16.829 49.576 77.158 -60.999 99.900 
1223.750 288.094 96.121 0.010 0.100 16.623 52.919 78.158 -60.000 99.900 
1223.875 254.722 98.353 0.010 0.100 16.590 56.504 79.062 -59.097 99.900 
1224.000 232.523 98.644 0.010 0.100 16.738 56.982 79.828 -58.332 99.900 
1224.125 229.378 98.945 0.010 0.100 16.894 57.479 80.465 -57.696 99.900 
1224.250 235.816 98.951 0.010 0.100 16.902 57.489 80.986 -57.176 99.900 
1224.375 246.058 97.062 0.010 0.100 16.706 54.414 81.474 -56.690 99.900 
1224.500 255.537 95.002 0.010 0.100 16.294 51.177 81.954 -56.211 99.900 
1224.625 257.435 95.126 0.010 0.100 15.712 51.368 82.400 -55.766 99.900 
1224.750 254.397 96.583 0.010 0.100 14.992 53.650 82.857 -55.310 99.900 
1224.875 260.679 98.701 0.010 0.100 14.158 57.076 83.249 -54.919 99.900 
1225.000 282.061 101.017 0.010 0.100 13.251 60.976 83.520 -54.649 99.900 
1225.125 301.489 102.312 0.010 0.100 12.351 63.231 83.742 -54.428 99.900 
1225.250 301.394 102.456 0.010 0.100 11.559 63.484 83.880 -54.291 99.900 
1225.375 284.393 103.429 0.010 0.100 10.933 65.219 83.918 -54.254 99.900 
1225.500 270.432 105.866 0.010 0.100 10.505 69.698 83.899 -54.274 99.900 
1225.625 277.198 107.145 0.010 0.100 10.272 72.131 83.818 -54.357 99.900 
1225.750 293.255 107.421 0.010 0.100 10.216 72.664 83.672 -54.504 99.900 
1225.875 299.263 108.028 0.010 0.100 10.302 73.843 83.496 -54.681 99.900 
1226.000 284.267 108.499 0.010 0.100 10.507 74.768 83.297 -54.881 99.900 
1226.125 256.265 109.123 0.010 0.100 10.855 76.005 83.098 -55.081 99.900 
1226.250 234.567 110.067 0.010 0.100 11.396 77.903 82.915 -55.265 99.900 
1226.375 230.867 110.354 0.010 0.100 12.124 78.488 82.766 -55.415 99.900 
1226.500 247.708 109.300 0.010 0.100 13.004 76.358 82.635 -55.548 99.900 
1226.625 270.954 108.645 0.010 0.100 14.000 75.057 82.533 -55.650 99.900 
1226.750 279.078 109.170 0.010 0.100 15.072 76.100 82.473 -55.712 99.900 
1226.875 265.475 109.109 0.010 0.100 16.153 75.977 82.431 -55.755 99.900 
1227.000 241.497 108.587 0.010 0.100 17.125 74.940 82.431 -55.756 99.900 
1227.125 227.985 108.354 0.010 0.100 17.863 74.482 82.458 -55.730 99.900 
1227.250 228.064 108.174 0.010 0.100 18.244 74.128 82.521 -55.668 99.900 
1227.375 233.178 108.865 0.010 0.100 18.230 75.492 82.616 -55.574 99.900 
1227.500 239.224 110.780 0.010 0.100 17.876 79.360 82.788 -55.404 99.900 
1227.625 252.687 112.422 0.010 0.100 17.310 82.787 83.016 -55.177 99.900 
1227.750 269.428 112.888 0.010 0.100 16.713 83.778 83.261 -54.933 99.900 
1227.875 281.469 113.304 0.010 0.100 16.212 84.669 83.566 -54.628 99.900 
1228.000 289.248 113.704 0.010 0.100 15.825 85.534 83.891 -54.304 99.900 
1228.125 301.357 112.765 0.010 0.100 15.499 83.516 84.197 -54.000 99.900 
1228.250 315.484 110.611 0.010 0.100 15.218 79.013 84.532 -53.666 99.900 
