¾®Ãû,DEPTH,GR,RT,AC,SP,POR,PERM,SW,SSR,SH,CJWX2,CJWX,CJWX1,,,,,,,,
ÂÞ¼ì36-361,1655.875,86.781,14.442,252.654,38.385,14.981,5.7029,42.971,5,15.274,2,2.187472722,0.858756091,,,,,,,,
ÂÞ¼ì36-361,1656,88.818,14.933,252.671,38.68,14.984,5.7746,42.254,5,16.233,2,1.042273579,0.85892806,,,,,,,,
ÂÞ¼ì36-361,1656.125,88.356,15.814,251.365,38.959,14.803,5.852,41.48,5,15.899,2,2.012194792,0.848552594,,,,,,,,
ÂÞ¼ì36-361,1656.25,87.612,16.993,250.944,39.229,14.745,5.9851,40.149,5,15.513,2,2.151771551,0.845227859,,,,,,,,
ÂÞ¼ì36-361,1656.375,89.118,18.299,252.039,39.505,14.896,6.1642,38.358,5,16.32,2,2.081980687,0.853883634,,,,,,,,
ÂÞ¼ì36-361,1656.5,91.399,19.374,253.895,39.797,15.152,6.3254,36.746,5,17.598,2,1.351994082,0.868558326,,,,,,,,
ÂÞ¼ì36-361,1656.625,90.096,20.033,254.94,40.109,15.297,6.4151,35.849,5,17.052,2,2.47567816,0.876870163,,,,,,,,
ÂÞ¼ì36-361,1656.75,89.142,20.269,254.636,40.439,15.255,6.4278,35.722,5,16.562,2,1.986842755,0.874462597,,,,,,,,
ÂÞ¼ì36-361,1656.875,89.331,19.774,253.741,40.777,15.131,6.3584,36.416,5,16.573,2,2.560838589,0.867354543,,,,,,,,
ÂÞ¼ì36-361,1657,88.386,18.487,254.093,41.114,15.18,6.244,37.56,5,16.152,2,1.750239898,0.870163371,,,,,,,,
ÂÞ¼ì36-361,1657.125,89.76,16.881,258.195,41.443,15.746,6.1889,38.111,5,17.182,2,2.181755137,0.902608197,,,,,,,,
ÂÞ¼ì36-361,1657.25,97.969,15.694,264.822,41.744,16.66,6.2314,37.686,5,22.133,2,2.298179222,0.955001433,,,,,,,,
ÂÞ¼ì36-361,1657.375,109.499,15.076,270.243,41.997,17.409,6.2948,37.052,5,29.831,2,1.163886959,0.997936371,,,,,,,,
ÂÞ¼ì36-361,1657.5,116.612,14.889,270.508,42.176,17.445,6.2782,37.218,5,34.89,2,1.070723513,1,,,,,,,,
ÂÞ¼ì36-361,1657.625,114.35,15.054,264.388,42.256,16.601,6.1404,38.596,5,32.429,2,1.58384945,1,,,,,,,,
ÂÞ¼ì36-361,1657.75,107.996,15.611,256.928,42.213,15.571,5.9994,40.006,5,27.246,2,2.464692632,1,,,,,,,,
ÂÞ¼ì36-361,1657.875,99.562,16.618,251.916,42.087,14.879,5.9709,40.291,5,21.692,2,2.296929602,0.980042155,,,,,,,,
ÂÞ¼ì36-361,1658,94.027,18.073,250.273,41.913,14.653,6.0862,39.138,5,18.584,2,1.43180971,0.965156106,,,,,,,,
